Flight_Nr,62,Cost,1119.3344381120335
Long,Lat,Flight_Level,Time
-18.0,34.0,230.0,07:50:00
-17.96794871794872,34.01660475982951,230.77124146825477,07:50:15
-17.935897435897434,34.033209519659025,231.54248293650954,07:50:30
-17.903846153846153,34.04981427948854,232.3137244047643,07:50:45
-17.871794871794872,34.06641903931805,233.08496587301906,07:51:00
-17.83974358974359,34.08302379914756,233.85620734127383,07:51:15
-17.807692307692307,34.099628558977074,234.6274488095286,07:51:30
-17.775641025641026,34.116233318806586,235.39869027778337,07:51:45
-17.743589743589745,34.1328380786361,236.16993174603815,07:52:00
-17.71153846153846,34.14944283846561,236.9411732142929,07:52:15
-17.67948717948718,34.16604759829512,237.71241468254766,07:52:30
-17.647435897435898,34.182652358124635,238.48365615080243,07:52:45
-17.615384615384617,34.19925711795415,239.2548976190572,07:53:00
-17.583333333333332,34.21586187778367,240.02613908731198,07:53:15
-17.55128205128205,34.23246663761318,240.79738055556672,07:53:30
-17.51923076923077,34.24907139744269,241.5686220238215,07:53:45
-17.486784140969164,34.26584573808623,242.33491388209677,07:54:00
-17.45374449339207,34.2828744499508,243.09378132540277,07:54:15
-17.420704845814978,34.29990316181538,243.85264876870878,07:54:30
-17.387665198237887,34.316931873679955,244.61151621201475,07:54:45
-17.354625550660792,34.33396058554453,245.37038365532075,07:55:00
-17.3215859030837,34.35098929740911,246.12925109862675,07:55:15
-17.288546255506606,34.36801800927368,246.88811854193276,07:55:30
-17.255506607929515,34.38504672113826,247.64698598523876,07:55:45
-17.222466960352424,34.40207543300284,248.40585342854476,07:56:00
-17.18942731277533,34.41910414486742,249.16472087185076,07:56:15
-17.15638766519824,34.436132856731994,249.92358831515676,07:56:30
-17.123348017621144,34.45316156859657,250.68245575846277,07:56:45
-17.090308370044053,34.470190280461146,251.44132320176877,07:57:00
-17.05726872246696,34.48721899232572,252.20019064507477,07:57:15
-17.024229074889867,34.5042477041903,252.95905808838077,07:57:30
-16.991150442477878,34.52127291458587,253.7091364738722,07:57:45
-16.957964601769913,34.53828849594168,254.43504495037357,07:58:00
-16.924778761061948,34.555304077297485,255.16095342687493,07:58:15
-16.891592920353983,34.57231965865329,255.8868619033763,07:58:30
-16.858407079646017,34.58933524000909,256.61277037987765,07:58:45
-16.825221238938052,34.6063508213649,257.33867885637903,07:59:00
-16.792035398230087,34.623366402720706,258.0645873328804,07:59:15
-16.758849557522122,34.64038198407651,258.79049580938175,07:59:30
-16.72566371681416,34.65739756543232,259.51640428588314,07:59:45
-16.692477876106196,34.674413146788126,260.2423127623845,08:00:00
-16.65929203539823,34.69142872814393,260.96822123888586,08:00:15
-16.626106194690266,34.70844430949974,261.69412971538725,08:00:30
-16.5929203539823,34.72545989085555,262.4200381918886,08:00:45
-16.559734513274336,34.74247547221135,263.14594666838997,08:01:00
-16.52654867256637,34.75949105356715,263.87185514489136,08:01:15
-16.493150684931507,34.776597148952774,264.59490861262043,08:01:30
-16.458904109589042,34.79406530045764,265.3065420452604,08:01:45
-16.424657534246574,34.811533451962504,266.0181754779004,08:02:00
-16.39041095890411,34.82900160346737,266.7298089105404,08:02:15
-16.356164383561644,34.84646975497223,267.44144234318037,08:02:30
-16.32191780821918,34.8639379064771,268.15307577582035,08:02:45
-16.28767123287671,34.88140605798196,268.86470920846034,08:03:00
-16.253424657534246,34.89887420948683,269.5763426411003,08:03:15
-16.21917808219178,34.916342360991685,270.2879760737403,08:03:30
-16.184931506849313,34.93381051249655,270.9996095063803,08:03:45
-16.15068493150685,34.951278664001414,271.7112429390203,08:04:00
-16.116438356164384,34.96874681550628,272.4228763716602,08:04:15
-16.08219178082192,34.98621496701114,273.1345098043002,08:04:30
-16.04794520547945,35.00368311851601,273.8461432369402,08:04:45
-16.013698630136986,35.02115127002087,274.55777666958016,08:05:00
-15.979452054794521,35.038564637397386,275.2469235434773,08:05:15
-15.945205479452055,35.05594148202167,275.9210793782125,08:05:30
-15.91095890410959,35.07331832664595,276.5952352129476,08:05:45
-15.876712328767123,35.09069517127024,277.2693910476828,08:06:00
-15.842465753424657,35.10807201589452,277.943546882418,08:06:15
-15.808219178082192,35.12544886051881,278.6177027171531,08:06:30
-15.773972602739725,35.14282570514309,279.2918585518883,08:06:45
-15.73972602739726,35.16020254976738,279.9660143866235,08:07:00
-15.705479452054794,35.17757939439166,280.6401702213587,08:07:15
-15.67123287671233,35.194956239015944,281.3143260560938,08:07:30
-15.636986301369863,35.212333083640225,281.988481890829,08:07:45
-15.602739726027398,35.22970992826451,282.6626377255642,08:08:00
-15.568493150684931,35.24708677288879,283.3367935602994,08:08:15
-15.534246575342467,35.26446361751308,284.0109493950345,08:08:30
-15.5,35.28184046213736,284.6851052297697,08:08:45
-15.464953271028037,35.299529867585356,285.3366591263391,08:09:00
-15.429906542056075,35.31721927303336,285.9882130229085,08:09:15
-15.394859813084112,35.334908678481355,286.6397669194779,08:09:30
-15.35981308411215,35.35259808392935,287.2913208160473,08:09:45
-15.324766355140188,35.37028748937735,287.9428747126167,08:10:00
-15.289719626168225,35.38797689482535,288.5944286091861,08:10:15
-15.254672897196262,35.405666300273346,289.2459825057555,08:10:30
-15.219626168224298,35.42335570572134,289.8975364023249,08:10:45
-15.184579439252337,35.44104511116934,290.54909029889427,08:11:00
-15.149532710280374,35.45873451661734,291.20064419546367,08:11:15
-15.11448598130841,35.47642392206534,291.85219809203306,08:11:30
-15.07943925233645,35.49411332751333,292.50375198860246,08:11:45
-15.044392523364486,35.51180273296133,293.15530588517186,08:12:00
-15.009345794392523,35.52949213840933,293.80685978174125,08:12:15
